#Doc,Entidad,Jaccard,Jaccard,SpaCy,SpaCy,SorensenDice,SorensenDice
,,idElegida,resultado,idElegida,resultado,idElegida,resultado
26,Stock Exchange,bn:00070218n,0.13793103448275862,bn:03243550n,0.8002088696705103,bn:00070218n,0.24242424242424243
27,Natural Language Processing,bn:00045156n,0.03205128205128205,bn:00045156n,0.8158161513558128,bn:00045156n,0.062111801242236024
28,Face,bn:00639735n,0.0234375,bn:03293249n,0.8538834846642033,bn:00639735n,0.04580152671755725
38,ASCII,bn:00003473n,0.021052631578947368,bn:00003473n,0.7440591664277489,bn:00003473n,0.041237113402061855
38,Ascii,bn:00003473n,0.021052631578947368,bn:00003473n,0.7440591664277489,bn:00003473n,0.041237113402061855
39,Dynamics,bn:17097283n,0.024390243902439025,bn:17097283n,0.8115908276541848,bn:17097283n,0.047619047619047616
47,Carma,bn:14882860n,0.0125,bn:14882860n,0.6895563817836893,bn:14882860n,0.024691358024691357
54,Systembolaget,bn:02951012n,0.04,bn:02951012n,0.6641977142712294,bn:02951012n,0.07692307692307693
57,Wikipedia,bn:02636476n,0.04225352112676056,bn:14511731n,0.7687189260799941,bn:02636476n,0.08108108108108109
58,XML,bn:02771436n,0.01282051282051282,bn:02771436n,0.8461674940170154,bn:02771436n,0.02531645569620253
60,IOC,bn:00731955n,0.00909090909090909,bn:00731955n,0.7484114863894088,bn:00731955n,0.018018018018018018
71,NLP,bn:00045156n,0.03125,bn:00045156n,0.8593179054402095,bn:00045156n,0.06060606060606061
72,NLP,bn:00045156n,0.0,bn:00045156n,0.5605036608130779,bn:00045156n,0.0
77,Alchemy,bn:15081956n,0.012195121951219513,bn:00002515n,0.8012333583709058,bn:15081956n,0.024096385542168676
81,SNCF,bn:03758281n,0.02564102564102564,bn:03758281n,0.755513074435629,bn:03758281n,0.05
81,Transilien,bn:03134820n,0.05263157894736842,bn:03134820n,0.7622058923263777,bn:03134820n,0.1
81,Times,bn:14874319n,0.03125,bn:03475584n,0.7779455887639379,bn:14874319n,0.06060606060606061
92,tata docomo,bn:01667346n,0.07692307692307693,bn:01667346n,0.6866943434847458,bn:01667346n,0.14285714285714285
95,ELO,bn:03754157n,0.01639344262295082,bn:03743654n,0.7681190664746426,bn:03754157n,0.03225806451612903
95,Index,bn:00046418n,0.04838709677419355,bn:00046418n,0.8453054184133193,bn:00046418n,0.09230769230769231
96,UTC,bn:00022460n,0.02631578947368421,bn:00022460n,0.8701596276450447,bn:00022460n,0.05128205128205128
98,Travel Time,bn:00078092n,0.01020408163265306,bn:00078092n,0.7295958665521284,bn:00078092n,0.020202020202020204
102,LEGO,bn:17298723n,0.02040816326530612,bn:00470163n,0.8156955647615998,bn:17298723n,0.04
105,PHP,bn:01753580n,0.01593625498007968,bn:01753580n,0.7853523922951552,bn:01753580n,0.03137254901960784
105,RTC,bn:03659892n,0.00390625,bn:03659892n,0.834259389765146,bn:03659892n,0.007782101167315175
105,ISO,bn:02819954n,0.028,bn:02261513n,0.8129326760434811,bn:02819954n,0.054474708171206226
110,Spam Detection,bn:02490348n,0.012987012987012988,bn:02490348n,0.6142122606344591,bn:02490348n,0.02564102564102564
115,CSS,bn:01642119n,0.08333333333333333,bn:03213553n,0.8603278911108989,bn:01642119n,0.15384615384615385
123,Image,bn:03124624n,0.02531645569620253,bn:00045972n,0.86752429339201,bn:03124624n,0.04938271604938271
123,Query,bn:00047208n,0.0379746835443038,bn:00744700n,0.8901716624962247,bn:00047208n,0.07317073170731707
123,Render,bn:00067105n,0.0,bn:00067105n,0.7370099689992281,bn:00067105n,0.0
126,CSV,bn:03284335n,0.0,bn:03284335n,0.6802752448398013,bn:03284335n,0.0
129,Giphy,bn:15936623n,0.0423728813559322,bn:15936623n,0.8041600256080904,bn:15936623n,0.08130081300813008
129,Roulette,bn:00068373n,0.022900763358778626,bn:00068373n,0.816051742950429,bn:00068373n,0.04477611940298507
130,USPS,bn:00079136n,0.043478260869565216,bn:00079136n,0.6819923158665251,bn:00079136n,0.08333333333333333
140,MAC,bn:01556045n,0.030927835051546393,bn:03241954n,0.7788531091514831,bn:01556045n,0.06
149,Response Message,bn:17373502n,0.037383177570093455,bn:17373502n,0.6472143086723592,bn:17373502n,0.07207207207207207
150,NLP,bn:00045156n,0.023952095808383235,bn:00045156n,0.7037957221941258,bn:00045156n,0.04678362573099415
150,Natural Language Processing,bn:00045156n,0.023952095808383235,bn:00045156n,0.7037957221941258,bn:00045156n,0.04678362573099415
152,Pokemon,bn:00777186n,0.045454545454545456,bn:00777186n,0.7778036768539751,bn:00777186n,0.08695652173913043
